"Tax Rule Group ID";Name;Active;Deleted;"Date Add";"Date Upd"
2;"US-AK Rate (0%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
1;"US-AL Rate (4%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
4;"US-AR Rate (6%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
3;"US-AZ Rate (6.6%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
5;"US-CA Rate (8.25%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
6;"US-CO Rate (2.9%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
7;"US-CT Rate (0%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
52;"US-DC Rate (6%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
8;"US-DE Rate (0%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
9;"US-FL Rate (6%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
10;"US-GA Rate (4%)";1;0;"2015-08-19 05:10:57";"2015-08-19 05:10:57"
11;"US-HI Rate (4%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
15;"US-IA Rate (6%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
12;"US-ID Rate (6%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
13;"US-IL Rate (6.25%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
14;"US-IN Rate (7%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
16;"US-KS Rate (5.3%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
17;"US-KY Rate (6%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
18;"US-LA Rate (4%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
21;"US-MA Rate (6.25%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
20;"US-MD Rate (6%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
19;"US-ME Rate (5%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
22;"US-MI Rate (6%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
23;"US-MN Rate (6.875%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
25;"US-MO Rate (4.225%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
24;"US-MS Rate (7%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
26;"US-MT Rate (0%)";1;0;"2015-08-19 05:10:58";"2015-08-19 05:10:58"
33;"US-NC Rate (5.5%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
34;"US-ND Rate (5%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
27;"US-NE Rate (5.5%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
29;"US-NH Rate (0%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
30;"US-NJ Rate (7%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
31;"US-NM Rate (5.125%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
28;"US-NV Rate (6.85%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
32;"US-NY Rate (4%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
35;"US-OH Rate (5.5%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
36;"US-OK Rate (4.5%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
37;"US-OR Rate (0%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
38;"US-PA Rate (6%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
51;"US-PR Rate (5.5%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
39;"US-RI Rate (7%)";1;0;"2015-08-19 05:10:59";"2015-08-19 05:10:59"
40;"US-SC Rate (6%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
41;"US-SD Rate (4%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
42;"US-TN Rate (7%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
43;"US-TX Rate (6.25%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
44;"US-UT Rate (4.75%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
46;"US-VA Rate (4%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
45;"US-VT Rate (6%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
47;"US-WA Rate (6.5%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
49;"US-WI Rate (5%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
48;"US-WV Rate (6%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
50;"US-WY Rate (4%)";1;0;"2015-08-19 05:11:00";"2015-08-19 05:11:00"
