"Attribute ID";"Product ID";Refference;"Supplier Refference";Location;ean13;UPC;"Wholesale Price";Price;"Unit Price Impact";Ecotax;"Minimal Quantity";Quantity;Weight;"Default On";"Available Date";Values;Image
31;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;1;0000-00-00;28,37,42;
32;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,37,43;
33;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,37,44;
34;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,37,45;
35;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,37,46;
36;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,38,42;
37;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,38,43;
38;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,38,44;
39;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,38,45;
40;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,38,46;
41;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,39,42;
42;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,39,43;
43;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,39,44;
44;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,39,45;
45;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,39,46;
46;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,40,42;
47;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,40,43;
48;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,40,44;
49;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,40,45;
50;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,40,46;
51;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,41,42;
52;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,41,43;
53;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,41,44;
54;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,41,45;
55;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;28,41,46;
56;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,37,42;
57;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,37,43;
58;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,37,44;
59;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,37,45;
60;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,37,46;
61;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,38,42;
62;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,38,43;
63;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,38,44;
64;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,38,45;
65;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,38,46;
66;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,39,42;
67;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,39,43;
68;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,39,44;
69;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,39,45;
70;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,39,46;
71;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,40,42;
72;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,40,43;
73;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,40,44;
74;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,40,45;
75;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,40,46;
76;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,41,42;
77;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,41,43;
78;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,41,44;
79;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,41,45;
80;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;29,41,46;
81;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,37,42;
82;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,37,43;
83;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,37,44;
84;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,37,45;
85;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,37,46;
86;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,38,42;
87;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,38,43;
88;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,38,44;
89;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,38,45;
90;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,38,46;
91;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,39,42;
92;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,39,43;
93;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,39,44;
94;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,39,45;
95;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,39,46;
96;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,40,42;
97;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,40,43;
98;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,40,44;
99;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,40,45;
100;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,40,46;
101;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,41,42;
102;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,41,43;
103;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,41,44;
104;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,41,45;
105;1;00101;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;30,41,46;
129;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;1;0000-00-00;5,37,42;
130;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;5,37,45;
131;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;5,37,46;
132;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;10,37,42;
133;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;10,37,45;
134;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;10,37,46;
135;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;13,37,42;
136;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;13,37,45;
137;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;13,37,46;
138;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;14,37,42;
139;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;14,37,45;
140;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;14,37,46;
141;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;15,37,42;
142;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;15,37,45;
143;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;15,37,46;
144;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;5,38,42;
145;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;5,38,45;
146;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;5,38,46;
147;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;10,38,42;
148;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;10,38,45;
149;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;10,38,46;
150;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;13,38,42;
151;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;13,38,45;
152;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;13,38,46;
153;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;14,38,42;
154;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;14,38,45;
155;2;00102;;;;;0.000000;0.000000;0.000000;0.000000;1;100;0.000000;;0000-00-00;14,38,46;
